custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_column
UC33108,California,M,Bachelor,656364.41,32375,83.0,1/0/00,Personal Auto,Four-Door Car,398,M
LW93867,Oregon,M,College,481252.52,16531,63.0,1/0/00,Corporate Auto,Four-Door Car,102,M
OU78470,Arizona,F,Master,2932804.19,32006,94.0,1/0/00,Corporate Auto,Four-Door Car,56,F
XW90265,Arizona,F,Bachelor,577352.07,81676,72.0,1/0/00,Personal Auto,Two-Door Car,463,F
HS67749,California,M,College,684711.89,71038,86.0,1/0/00,Corporate Auto,Four-Door Car,205,M
VZ51506,Arizona,F,High School or Below,359531.29,0,103.0,1/0/00,Corporate Auto,Luxury,741,F
UI64281,Nevada,F,Master,2285561.21,20832,65.0,1/0/00,Personal Auto,Two-Door Car,56,F
AE98193,Washington,M,High School or Below,785941.46,0,113.0,1/0/00,Personal Auto,SUV,813,M
AZ74055,Oregon,M,High School or Below,411557.74,52405,103.0,1/0/00,Personal Auto,Four-Door Car,494,M
XS76911,Arizona,F,High School or Below,502963.88,0,133.0,1/0/00,Personal Auto,Luxury,795,F
AY40674,Washington,F,Bachelor,482141.85,26583,1005.0,1/4/00,Personal Auto,SUV,614,F
NA12740,Oregon,M,Master,500431.05,25486,65.0,1/0/00,Special Auto,Two-Door Car,72,M
UA84837,Arizona,M,College,863005.39,24065,111.0,1/0/00,Corporate Auto,Four-Door Car,532,M
DJ51510,Arizona,F,High School or Below,932208.51,70435,116.0,1/0/00,Personal Auto,Four-Door Car,67,F
VM58985,California,M,College,1672756.06,0,76.0,1/2/00,Personal Auto,Two-Door Car,402,M
OH60605,Oregon,F,High School or Below,365253.24,39679,92.0,1/0/00,Personal Auto,Two-Door Car,641,F
UO98052,Nevada,M,College,615860.12,0,89.0,1/0/00,Personal Auto,Four-Door Car,342,M
NC53424,California,M,Bachelor,437608.4,0,69.0,1/4/00,Personal Auto,Two-Door Car,331,M
LQ13873,Nevada,M,High School or Below,556945.62,53565,71.0,1/1/00,Personal Auto,Four-Door Car,340,M
LA97014,Washington,M,Bachelor,257651.3,37574,66.0,1/1/00,Personal Auto,Two-Door Car,412,M
NB79936,Washington,M,Bachelor,834698.32,48259,108.0,1/0/00,Personal Auto,Two-Door Car,73,M
NT89061,Arizona,F,High School or Below,632392.39,78532,78.0,1/0/00,Personal Auto,Four-Door Car,374,F
AF10970,Arizona,F,Bachelor,597314.34,96163,73.0,1/0/00,Corporate Auto,Four-Door Car,350,F
ZG48513,California,M,Bachelor,470667.7,0,72.0,1/0/00,Personal Auto,Four-Door Car,345,M
JQ59145,California,Male,High School or Below,809341.03,0,114.0,1/1/00,Personal Auto,Luxury,722,M
FE84989,Washington,Male,College,503574.46,72672,63.0,1/0/00,Personal Auto,Four-Door Car,259,M
JT52858,Oregon,F,Bachelor,902786.72,99002,112.0,1/1/00,Personal Auto,Four-Door Car,537,F
MC62068,California,Male,High School or Below,728888.48,79494,91.0,1/0/00,Personal Auto,Four-Door Car,396,M
EU27538,Oregon,Male,Master,1804247.94,35704,225.0,1/0/00,Personal Auto,Luxury,358,M
RH42306,Arizona,F,Bachelor,499206.3,0,71.0,1/0/00,Corporate Auto,Four-Door Car,653,F
US23612,Oregon,F,High School or Below,910226.78,26049,118.0,1/0/00,Personal Auto,Two-Door Car,121,F
WV76014,Arizona,Male,Doctor,254040.77,70125,64.0,1/0/00,Special Auto,Four-Door Car,92,M
RK96223,California,Male,College,1294189.19,52369,110.0,1/1/00,Personal Auto,SUV,528,M
MF82000,Washington,female,Bachelor,236534.86,0,66.0,1/2/00,Special Auto,Four-Door Car,159,female
FM46980,Arizona,Male,College,572076.51,41770,72.0,1/0/00,Personal Auto,Four-Door Car,476,M
SY56792,Oregon,Male,High School or Below,703553.41,0,101.0,1/0/00,Corporate Auto,Four-Door Car,727,M
RF61565,California,M,College,263697.77,31911,67.0,1/0/00,Personal Auto,Four-Door Car,321,M
IM94808,Nevada,M,Bachelor,539583.2,70051,68.0,1/0/00,Corporate Auto,Four-Door Car,42,M
VI14730,Oregon,M,High School or Below,838263.01,19683,117.0,1/1/00,Personal Auto,Luxury,561,M
YR34119,Washington,F,College,3116174.52,30916,112.0,1/0/00,Personal Auto,SUV,200,F
RR77985,Oregon,F,Bachelor,288774.23,0,80.0,1/0/00,Personal Auto,Four-Door Car,676,F
QD28391,Washington,M,College,742584.53,84302,62.0,1/0/00,Personal Auto,Four-Door Car,76,M
WV17090,California,M,Bachelor,2558572.78,0,116.0,1/0/00,Corporate Auto,SUV,830,M
TM23514,Oregon,M,College,1027260.82,60145,132.0,1/0/00,Personal Auto,SUV,580,M
MQ68407,Oregon,F,Bachelor,437636.36,63774,111.0,1/0/00,Personal Auto,Four-Door Car,60,F
GJ59592,California,F,Bachelor,531889.66,25134,67.0,1/0/00,Corporate Auto,Four-Door Car,321,F
FY56083,Oregon,M,Bachelor,471976.22,37057,61.0,1/1/00,Personal Auto,Four-Door Car,47,M
UA94723,Oregon,F,High School or Below,442803.16,58577,110.0,1/0/00,Personal Auto,SUV,303,F
FW91032,California,M,High School or Below,587917.61,85857,73.0,1/0/00,Corporate Auto,Four-Door Car,100,M
DE34457,Oregon,F,Doctor,941690.85,70602,116.0,1/0/00,Personal Auto,SUV,481,F
HD32044,Oregon,F,Master,828815.56,33816,106.0,1/2/00,Corporate Auto,Four-Door Car,508,F
HH30454,Oregon,M,Bachelor,3265483.83,0,153.0,1/0/00,Personal Auto,SUV,1101,M
AH84063,Oregon,F,College,471945.01,89642,121.0,1/4/00,Corporate Auto,SUV,86,F
QA17596,California,F,Bachelor,390347.48,60068,98.0,1/0/00,Personal Auto,Two-Door Car,470,F
XI41052,California,F,Bachelor,545725.97,50044,139.0,1/0/00,Personal Auto,SUV,667,F
DI30528,California,F,Master,272535.64,36650,69.0,1/1/00,Personal Auto,Four-Door Car,56,F
SC66359,Arizona,F,College,443397.37,50653,110.0,1/0/00,Corporate Auto,SUV,262,F
EN61670,Arizona,F,Doctor,533246.27,68931,66.0,1/0/00,Personal Auto,Four-Door Car,309,F
DQ10761,Oregon,M,Bachelor,231509.5,0,73.0,1/1/00,Corporate Auto,Four-Door Car,350,M
BQ51587,California,F,College,541195.37,0,73.0,1/0/00,Personal Auto,Four-Door Car,365,F
JE21522,California,M,Bachelor,958733.23,39266,80.0,1/0/00,Personal Auto,Four-Door Car,384,M
WS47147,California,M,College,2210350.72,0,102.0,1/0/00,Personal Auto,SUV,489,M
ZA64638,Nevada,F,High School or Below,976494.53,0,98.0,1/1/00,Personal Auto,Four-Door Car,705,F
EW38459,Nevada,F,Bachelor,256715.15,40864,65.0,1/0/00,Corporate Auto,Four-Door Car,9,F
QW87316,Oregon,F,College,265062.28,39035,68.0,1/0/00,Personal Auto,Four-Door Car,244,F
IC43478,California,M,Bachelor,1126436.33,34923,98.0,1/0/00,Personal Auto,Two-Door Car,639,M
TE34064,California,M,High School or Below,216852.35,0,63.0,1/0/00,Personal Auto,Four-Door Car,453,M
WU60905,California,F,High School or Below,861066.75,0,111.0,1/0/00,Corporate Auto,SUV,532,F
YM18992,California,F,College,283464.62,24506,71.0,1/0/00,Personal Auto,Two-Door Car,511,F
PD55753,Oregon,M,High School or Below,893013.97,0,82.0,1/0/00,Personal Auto,Four-Door Car,554,M
KU56006,Arizona,F,College,553638.7,52220,70.0,1/1/00,Personal Auto,Four-Door Car,336,F
MJ69973,Arizona,M,High School or Below,284085.43,0,74.0,1/0/00,Personal Auto,Two-Door Car,402,M
TW43626,California,M,College,808288.1,53554,67.0,1/0/00,Personal Auto,Four-Door Car,327,M
XX84133,California,M,Bachelor,525473.43,34476,67.0,1/1/00,Corporate Auto,Four-Door Car,5,M
ZW84453,Arizona,F,Bachelor,511623.76,0,70.0,1/0/00,Personal Auto,Four-Door Car,131,F
HO29524,California,M,College,303464.7,68205,76.0,1/0/00,Personal Auto,Two-Door Car,99,M
VE89726,California,female,High School or Below,802489.99,0,119.0,1/1/00,Personal Auto,SUV,856,female
GE87503,California,M,High School or Below,1821114.32,53690,154.0,1/0/00,Personal Auto,SUV,739,M
PX90263,Oregon,M,High School or Below,512156.33,0,72.0,1/0/00,Personal Auto,Four-Door Car,518,M
NI17718,California,female,High School or Below,215017.86,0,61.0,1/0/00,Personal Auto,Four-Door Car,292,female
FY32213,California,female,High School or Below,559538.99,74454,71.0,1/0/00,Personal Auto,Four-Door Car,340,female
RZ13254,Nevada,female,Bachelor,756282.4,0,73.0,1/0/00,Personal Auto,Four-Door Car,350,female
GN45013,Oregon,M,High School or Below,538585.32,29664,71.0,1/0/00,Personal Auto,Four-Door Car,340,M
NM39588,Washington,F,Doctor,267805.83,72450,66.0,1/0/00,Corporate Auto,Four-Door Car,84,F
KU84464,Nevada,female,Bachelor,942256.79,47272,79.0,1/3/00,Personal Auto,Four-Door Car,64,female
YH43527,Oregon,female,College,360586.03,21585,92.0,1/0/00,Corporate Auto,Four-Door Car,441,female
RO30676,California,female,College,776259.06,23827,106.0,1/2/00,Personal Auto,Four-Door Car,37,female
QL59704,Arizona,female,College,2344490.05,69906,74.0,1/2/00,Corporate Auto,Four-Door Car,202,female
QH19450,California,female,High School or Below,255817.82,0,72.0,1/0/00,Corporate Auto,Four-Door Car,345,female
SA54664,Washington,M,Master,265438.1,73196,66.0,1/1/00,Personal Auto,Four-Door Car,85,M
CI38330,Washington,M,Bachelor,254978.61,72217,6464.0,1/0/00,Personal Auto,Four-Door Car,91,M
WB38524,California,M,High School or Below,296959.33,46131,74.0,1/0/00,Personal Auto,Two-Door Car,355,M
CE56187,Oregon,female,Master,436312.46,54514,109.0,1/3/00,Personal Auto,SUV,286,female
JL19416,California,female,High School or Below,588430.86,0,161.0,1/0/00,Personal Auto,SUV,1159,female
JZ61422,Nevada,female,College,527219.16,96668,66.0,1/0/00,Personal Auto,Four-Door Car,316,female
LA13377,California,M,Doctor,550989.57,78879,69.0,1/1/00,Personal Auto,Four-Door Car,466,M
NC99948,Nevada,M,College,1631368.35,0,69.0,1/0/00,Personal Auto,Four-Door Car,331,M
QD34785,Arizona,female,Bachelor,567805.02,0,76.0,1/0/00,Personal Auto,Four-Door Car,364,female
RO26085,California,female,Bachelor,1210120.88,0,112.0,1/0/00,Personal Auto,Luxury,1252,female
ES57969,Oregon,M,Bachelor,245357.08,29735,69.0,1/0/00,Personal Auto,Four-Door Car,331,M
JK55587,California,M,High School or Below,507566.27,23082,65.0,1/0/00,Special Auto,Four-Door Car,312,M
RN97635,Arizona,M,Bachelor,321497.94,53984,80.0,1/0/00,Corporate Auto,Four-Door Car,421,M
BI76326,California,female,College,1227534.31,52135,156.0,1/0/00,Personal Auto,SUV,430,female
JA34909,California,female,College,272221.07,17576,71.0,1/0/00,Corporate Auto,Four-Door Car,398,female
OJ90342,Oregon,female,Bachelor,245744.09,29486,62.0,1/0/00,Personal Auto,Four-Door Car,7,female
CM88932,Oregon,female,Master,355484.53,58557,88.0,1/0/00,Corporate Auto,Four-Door Car,55,female
JJ97525,California,M,Bachelor,492954.97,25632,63.0,1/0/00,Personal Auto,Two-Door Car,351,M
XV21647,California,female,High School or Below,803645.03,0,112.0,1/0/00,Personal Auto,Luxury,806,female
MC83487,Arizona,M,Bachelor,427691.53,18768,68.0,1/3/00,Corporate Auto,Four-Door Car,647,M
BL90769,California,female,Bachelor,3347334.95,33190,106.0,1/0/00,Personal Auto,SUV,508,female
CR57148,Oregon,female,Master,596058.14,47945,74.0,1/0/00,Personal Auto,Two-Door Car,128,female
CP85232,Arizona,M,College,4479546.94,58778,126.0,1/0/00,Special Auto,SUV,302,M
YL74732,California,female,High School or Below,383211.81,15192,100.0,1/0/00,Personal Auto,SUV,480,female
FG16766,California,female,Bachelor,683793.26,51859,171.0,1/0/00,Personal Auto,SUV,1003,female
NV55438,Nevada,female,High School or Below,528526.82,23422,72.0,1/0/00,Personal Auto,Two-Door Car,518,female
RM10880,California,female,College,309651.12,21604,79.0,1/0/00,Corporate Auto,Four-Door Car,379,female
GL56175,Arizona,M,College,358971.07,79298,90.0,1/0/00,Personal Auto,Four-Door Car,244,M
UK52289,Arizona,female,Bachelor,258240.85,76731,64.0,1/0/00,Special Auto,Four-Door Car,201,female
OT85112,Washington,M,College,340391.94,38460,88.0,1/1/00,Personal Auto,Four-Door Car,91,M
BC62782,Arizona,F,College,1357567.6,48534,115.0,1/1/00,Personal Auto,SUV,552,F
TI19722,Washington,M,Doctor,343613.43,30817,88.0,1/0/00,Corporate Auto,Four-Door Car,91,M
JP30654,Oregon,F,College,2868582.79,48412,104.0,1/0/00,Personal Auto,SUV,707,F
UM45563,Washington,M,Bachelor,450267.97,68798,114.0,1/0/00,Personal Auto,SUV,92,M
EN60878,Oregon,M,Bachelor,618311.15,23712,85.0,1/0/00,Personal Auto,Four-Door Car,376,M
JF36291,California,M,College,387364.7,28142,105.0,1/0/00,Personal Auto,Luxury,701,M
BK59444,California,F,Master,1892933.06,72196,68.0,1/0/00,Personal Auto,Four-Door Car,152,F
MK70700,California,M,Master,555329.58,68197,69.0,1/0/00,Personal Auto,Four-Door Car,176,M
IW71076,California,M,Bachelor,501125.92,75248,63.0,1/0/00,Corporate Auto,Four-Door Car,104,M
AP98768,California,F,College,1044244.63,0,98.0,1/0/00,Personal Auto,Four-Door Car,941,F
OM24164,Nevada,M,Bachelor,219961.78,0,65.0,1/1/00,Personal Auto,Two-Door Car,468,M
HR85211,Washington,female,Master,512317.09,89879,63.0,1/0/00,Personal Auto,Two-Door Car,94,female
VC87846,Oregon,M,High School or Below,748431.05,46998,96.0,1/0/00,Corporate Auto,Four-Door Car,460,M
ZM92052,Oregon,M,Bachelor,261302.31,57099,67.0,1/0/00,Personal Auto,Two-Door Car,67,M
ON73702,Arizona,F,Bachelor,908063.97,33897,114.0,1/0/00,Corporate Auto,SUV,539,F
QQ90441,Nevada,F,High School or Below,1377097.62,59207,116.0,1/0/00,Personal Auto,Four-Door Car,556,F
HU35721,Oregon,M,High School or Below,287682.29,40171,73.0,1/0/00,Personal Auto,Four-Door Car,350,M
YP47665,Washington,M,Doctor,540891.15,80192,67.0,1/0/00,Personal Auto,Four-Door Car,95,M
FU99476,Washington,M,High School or Below,677030.68,74422,85.0,1/1/00,Personal Auto,Four-Door Car,95,M
AG85615,Oregon,M,College,2414387.56,0,87.0,1/0/00,Special Auto,Four-Door Car,626,M
OY74069,Arizona,F,College,353805.95,0,67.0,1/5/00,Personal Auto,Four-Door Car,321,F
DJ91267,Nevada,F,Bachelor,2909123.94,34226,244.0,1/0/00,Personal Auto,Luxury,494,F
KB72438,California,F,High School or Below,1983420.12,65989,123.0,1/1/00,Personal Auto,SUV,115,F
TR67616,Oregon,M,High School or Below,473136.7,30686,61.0,1/0/00,Corporate Auto,Four-Door Car,19,M
GF65731,California,F,Master,3553784.6,0,113.0,1/0/00,Personal Auto,Luxury,799,F
HB67642,Arizona,F,High School or Below,3461137.9,20090,109.0,1/0/00,Personal Auto,Luxury,523,F
DP84567,California,M,High School or Below,2021630.88,0,183.0,1/0/00,Personal Auto,Luxury,878,M
VV77534,Oregon,M,College,1397651.93,77094,176.0,1/0/00,Personal Auto,SUV,444,M
GL67540,California,F,College,590408.82,97413,73.0,1/0/00,Personal Auto,Four-Door Car,268,F
SV50502,Oregon,F,Master,559583.5,79189,69.0,1/0/00,Corporate Auto,Four-Door Car,331,F
UK59698,California,F,High School or Below,229430.36,0,62.0,1/0/00,Personal Auto,Two-Door Car,297,F
OA57352,Arizona,F,College,627391.19,18577,86.0,1/0/00,Personal Auto,Four-Door Car,412,F
ZF84449,Oregon,F,College,372672.8,0,112.0,1/1/00,Special Auto,Luxury,806,F
AX86150,Washington,M,High School or Below,265671.31,62777,67.0,1/0/00,Personal Auto,Two-Door Car,101,M
HG39060,Oregon,Male,Bachelor,511068.08,0,74.0,1/0/00,Corporate Auto,Four-Door Car,532,M
EM29359,Nevada,Male,College,712659.65,17483,183.0,1/0/00,Personal Auto,Luxury,1317,M
SF57173,Oregon,Male,Master,460163.41,84394,114.0,1/0/00,Personal Auto,SUV,691,M
OT47603,Oregon,Male,College,915523.97,0,127.0,1/0/00,Personal Auto,Luxury,804,M
SW31412,Oregon,F,College,1480805.62,41440,62.0,1/1/00,Personal Auto,Four-Door Car,297,F
JS36322,Arizona,Male,High School or Below,890167.84,0,136.0,1/1/00,Personal Auto,Luxury,1090,M
RE81445,Oregon,F,College,573459.82,98132,71.0,1/0/00,Personal Auto,Two-Door Car,50,F
RM24280,Oregon,F,High School or Below,417769.7,0,112.0,1/0/00,Personal Auto,Four-Door Car,537,F
LC25393,California,Male,Bachelor,2777628.91,88220,230.0,1/0/00,Personal Auto,Luxury,151,M
UX38930,Arizona,F,Master,1036434.75,58327,129.0,1/0/00,Personal Auto,SUV,347,F
HD95496,Oregon,Male,Master,785190.14,25950,66.0,1/0/00,Personal Auto,Two-Door Car,271,M
RX24650,Oregon,Male,High School or Below,477294.38,20993,133.0,1/0/00,Corporate Auto,SUV,638,M
DW19309,Oregon,Male,High School or Below,1422650.49,65726,177.0,1/0/00,Corporate Auto,SUV,849,M
MT41386,Washington,M,Bachelor,287543.24,84768,72.0,1/0/00,Personal Auto,Two-Door Car,110,M
WZ40465,Washington,F,Bachelor,504129.96,36234,63.0,1/0/00,Personal Auto,Four-Door Car,113,F
DB42794,California,Male,College,436293.12,58842,110.0,1/0/00,Personal Auto,Four-Door Car,528,M
JB50798,Oregon,F,Master,962452.44,25629,124.0,1/2/00,Corporate Auto,Luxury,595,F
IP69763,Washington,F,College,2191440.55,77311,181.0,1/0/00,Personal Auto,SUV,113,F
TE35785,California,Male,Doctor,694842.22,0,196.0,1/2/00,Personal Auto,Luxury,1337,M
HX74855,Washington,M,High School or Below,247152.84,95697,61.0,1/0/00,Personal Auto,Two-Door Car,114,M
QN65180,Oregon,F,Bachelor,2190391.36,22254,79.0,1/0/00,Personal Auto,Four-Door Car,125,F
GE47180,Nevada,Male,High School or Below,902882.14,65974,113.0,1/0/00,Personal Auto,Luxury,235,M
VQ38776,Oregon,F,College,530375.95,0,76.0,1/0/00,Personal Auto,Four-Door Car,395,F
BH86846,Washington,M,High School or Below,2070825.88,92079,65.0,1/1/00,Corporate Auto,Four-Door Car,114,M
IN17648,Nevada,Male,High School or Below,512376.81,0,74.0,1/0/00,Personal Auto,Two-Door Car,772,M
DF95759,Oregon,Male,College,949234.3,0,132.0,1/0/00,Personal Auto,SUV,633,M
QG45324,Oregon,F,High School or Below,820486.32,0,73.0,1/0/00,Personal Auto,Four-Door Car,350,F
MN61620,Arizona,F,College,987729.57,67752,131.0,1/4/00,Personal Auto,Luxury,168,F
YH86390,California,F,Bachelor,481500.97,25398,64.0,1/0/00,Corporate Auto,Four-Door Car,307,F
FY13480,California,Male,High School or Below,627701.17,0,88.0,1/0/00,Personal Auto,Four-Door Car,633,M
YH61661,California,M,High School or Below,826063.98,33321,105.0,1/0/00,Special Auto,SUV,504,M
NL93182,Nevada,M,Bachelor,254945.0,0,78.0,1/0/00,Corporate Auto,Four-Door Car,845,M
LN31673,Washington,unknown,College,1131808.98,38923,99.0,1/2/00,Personal Auto,Four-Door Car,115,
WE68644,Oregon,F,Bachelor,380392.18,20325,100.0,1/0/00,Personal Auto,Luxury,668,F
EZ30498,Oregon,M,Bachelor,863540.35,13129,117.0,1/0/00,Personal Auto,SUV,700,M
QY74517,Oregon,F,High School or Below,551055.9,0,73.0,1/0/00,Personal Auto,Four-Door Car,525,F
NM88660,Nevada,M,Master,358588.41,49080,91.0,1/0/00,Corporate Auto,Four-Door Car,25,M
MZ82036,Nevada,M,College,488925.28,42536,63.0,1/0/00,Personal Auto,Four-Door Car,375,M
ID20929,Oregon,M,Bachelor,275694.17,29926,74.0,1/0/00,Corporate Auto,Four-Door Car,418,M
EY50028,Nevada,M,Doctor,328954.74,0,86.0,1/0/00,Corporate Auto,Two-Door Car,398,M
TT82373,California,F,Bachelor,1093717.85,21450,138.0,1/0/00,Personal Auto,Luxury,938,F
OH64088,California,M,High School or Below,737556.79,33345,65.0,1/0/00,Corporate Auto,Four-Door Car,338,M
SK97780,California,F,Bachelor,1011077.82,15752,90.0,1/0/00,Corporate Auto,Two-Door Car,339,F
IO33050,Oregon,F,High School or Below,511941.43,40169,65.0,1/1/00,Personal Auto,Four-Door Car,302,F
XA55917,California,F,College,853383.2,26049,113.0,1/1/00,Personal Auto,SUV,619,F
JK32620,Nevada,M,College,222476.8,0,68.0,1/0/00,Personal Auto,Four-Door Car,326,M
RQ19236,Arizona,M,Doctor,804280.38,55411,100.0,1/0/00,Personal Auto,Luxury,259,M
QC47433,Oregon,M,College,255443.71,12459,70.0,1/0/00,Personal Auto,Four-Door Car,336,M
RA93608,Oregon,M,Bachelor,1807394.0,64620,76.0,1/1/00,Personal Auto,Two-Door Car,364,M
XH97711,California,M,Bachelor,243050.66,83140,61.0,1/0/00,Corporate Auto,Four-Door Car,179,M
AU96286,Oregon,F,Bachelor,316765.84,0,92.0,1/0/00,Corporate Auto,Four-Door Car,662,F
KC17170,Arizona,F,Bachelor,546560.4,54422,68.0,1/0/00,Corporate Auto,Four-Door Car,75,F
ZN47335,California,M,College,1035751.42,68309,131.0,1/0/00,Corporate Auto,SUV,306,M
EI46264,California,M,High School or Below,253781.39,56621,65.0,1/2/00,Personal Auto,Four-Door Car,84,M
EK87864,Arizona,F,College,282194.72,38977,70.0,1/0/00,Special Auto,Four-Door Car,139,F
GV45403,Arizona,M,Bachelor,775712.81,0,111.0,1/0/00,Corporate Auto,Two-Door Car,607,M
QK31192,Arizona,M,High School or Below,407913.27,0,114.0,1/0/00,Corporate Auto,Two-Door Car,631,M
LU89008,Arizona,F,College,595554.46,0,83.0,1/0/00,Personal Auto,Four-Door Car,628,F
NS10490,Oregon,F,Bachelor,1415861.36,83235,70.0,1/0/00,Personal Auto,Two-Door Car,336,F
KL98495,Nevada,M,College,848723.8,0,74.0,1/0/00,Personal Auto,Two-Door Car,426,M
IU96845,Arizona,M,College,628547.69,32390,80.0,1/0/00,Personal Auto,Four-Door Car,91,M
QL93655,Oregon,F,High School or Below,1147348.15,66538,95.0,1/0/00,Personal Auto,Two-Door Car,317,F
PF40592,Washington,F,College,494263.06,23285,65.0,1/0/00,Personal Auto,Two-Door Car,118,F
LZ34046,Oregon,M,Bachelor,2359468.02,76358,66.0,1/0/00,Personal Auto,Four-Door Car,86,M
JC80093,Washington,M,Master,257250.66,21104,66.0,1/0/00,Personal Auto,Four-Door Car,118,M
YE88490,Arizona,F,College,538089.86,55350,67.0,1/0/00,Personal Auto,Four-Door Car,321,F
YC80498,California,F,College,477055.09,12964,65.0,1/0/00,Personal Auto,Two-Door Car,362,F
AI85843,Arizona,F,Master,675665.14,33288,86.0,1/2/00,Personal Auto,Four-Door Car,221,F
XD66024,Arizona,F,College,593601.18,0,84.0,1/0/00,Personal Auto,Four-Door Car,980,F
FY51713,Arizona,F,Bachelor,357076.05,56168,88.0,1/0/00,Personal Auto,Four-Door Car,614,F
PH26378,California,M,College,601996.05,0,92.0,1/0/00,Personal Auto,Four-Door Car,662,M
WQ18638,Oregon,M,High School or Below,542686.4,23105,69.0,1/0/00,Personal Auto,Two-Door Car,331,M
KY14688,Oregon,F,Master,273031.38,36218,68.0,1/0/00,Personal Auto,Four-Door Car,145,F
TC97762,California,F,High School or Below,498268.14,52275,62.0,1/0/00,Corporate Auto,Four-Door Car,374,F
QC87108,Oregon,F,College,876926.68,49665,74.0,1/0/00,Personal Auto,Four-Door Car,355,F
CX12134,Nevada,M,High School or Below,422061.35,32471,110.0,1/0/00,Personal Auto,Two-Door Car,528,M
SM73248,Arizona,M,High School or Below,1153750.51,0,86.0,1/1/00,Corporate Auto,Two-Door Car,619,M
CK19789,California,F,Master,588718.2,62773,73.0,1/0/00,Personal Auto,Four-Door Car,80,F
UV12583,California,F,College,470058.38,76694,117.0,1/0/00,Personal Auto,SUV,561,F
JC11405,Oregon,M,High School or Below,1096395.72,55687,276.0,1/0/00,Personal Auto,Luxury,1324,M
KA89683,Arizona,F,High School or Below,252317.12,0,70.0,1/0/00,Personal Auto,Four-Door Car,504,F
BG85305,Nevada,M,Doctor,375780.47,36633,96.0,1/1/00,Personal Auto,Four-Door Car,460,M
UQ87917,Oregon,M,High School or Below,1294173.35,77060,106.0,1/0/00,Personal Auto,SUV,468,M
XN11823,Nevada,F,Bachelor,376446.51,92600,94.0,1/0/00,Corporate Auto,Two-Door Car,842,F
OS46571,California,M,High School or Below,688955.7,0,66.0,1/0/00,Personal Auto,Four-Door Car,475,M
PX17116,Nevada,M,College,362345.42,0,111.0,1/2/00,Corporate Auto,SUV,1171,M
RP19541,Arizona,M,College,758211.38,64801,64.0,1/0/00,Personal Auto,Four-Door Car,268,M
ZR25747,Oregon,F,College,827774.56,45257,103.0,1/0/00,Corporate Auto,Two-Door Car,494,F
NQ86532,California,M,High School or Below,257645.56,26854,66.0,1/0/00,Personal Auto,Four-Door Car,475,M
JY27336,Oregon,F,College,820538.79,85840,102.0,1/2/00,Corporate Auto,SUV,138,F
PB54378,Oregon,F,Doctor,1958246.89,26463,72.0,1/0/00,Corporate Auto,Four-Door Car,345,F
SV38190,Nevada,F,Bachelor,648152.66,30689,81.0,1/0/00,Personal Auto,Four-Door Car,467,F
CV24005,Oregon,M,High School or Below,259931.09,29590,66.0,1/0/00,Corporate Auto,Two-Door Car,467,M
EX28656,Oregon,F,College,983033.76,25965,253.0,1/0/00,Personal Auto,Luxury,1214,F
CF57022,Oregon,M,Bachelor,1044265.14,17269,139.0,1/0/00,Personal Auto,SUV,667,M
GM16780,Oregon,M,College,3605753.7,90330,137.0,1/3/00,Corporate Auto,Luxury,192,M
BX94438,California,F,High School or Below,847003.68,0,113.0,1/0/00,Corporate Auto,SUV,619,F
RM41745,California,F,High School or Below,827878.65,0,110.0,1/0/00,Personal Auto,Four-Door Car,1002,F
XR70252,California,F,High School or Below,478893.26,0,67.0,1/1/00,Personal Auto,Two-Door Car,321,F
YH92099,Arizona,F,Bachelor,308799.99,18558,80.0,1/0/00,Special Auto,Four-Door Car,384,F
SG81493,Arizona,M,Bachelor,444373.62,46384,113.0,1/0/00,Corporate Auto,Four-Door Car,251,M
ZX23819,Oregon,F,High School or Below,798408.65,0,72.0,1/0/00,Personal Auto,Two-Door Car,866,F
FJ54907,Oregon,F,College,718097.1,42303,180.0,1/0/00,Personal Auto,Luxury,1210,F
CU26127,California,F,Bachelor,1565603.43,71731,130.0,1/0/00,Corporate Auto,SUV,599,F
YH60476,Oregon,M,High School or Below,578018.22,51066,74.0,1/0/00,Corporate Auto,Four-Door Car,787,M
ZZ97035,California,M,College,2071494.04,0,203.0,1/0/00,Corporate Auto,Luxury,2027,M
GE82737,Nevada,F,Bachelor,533735.24,0,86.0,1/3/00,Personal Auto,Four-Door Car,619,F
KY21873,Arizona,M,College,505082.62,0,69.0,1/0/00,Personal Auto,Two-Door Car,72,M
UA51318,Arizona,F,High School or Below,511662.4,26173,68.0,1/1/00,Corporate Auto,Four-Door Car,449,F
BV55014,Oregon,M,Bachelor,726873.7,24445,63.0,1/0/00,Personal Auto,Two-Door Car,302,M
HX21307,Oregon,Male,College,261661.39,72302,66.0,1/0/00,Personal Auto,Two-Door Car,316,M
LQ68252,Oregon,Male,High School or Below,373843.62,27208,102.0,1/0/00,Personal Auto,SUV,489,M
CR92802,California,F,Master,272535.64,36650,69.0,1/1/00,Special Auto,Four-Door Car,56,F
SL35268,Arizona,Male,College,545386.12,30855,68.0,1/0/00,Corporate Auto,Four-Door Car,259,M
RD62882,Arizona,F,Bachelor,684615.03,0,95.0,1/0/00,Personal Auto,Two-Door Car,456,F
